a,b,lambda,SOC_dot,Hamiltonian
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657234,-10.769287462945734
-4.133547137210154e-05,0.24978313374798355,-194.99760606960183,-0.008547008547008546,1.916263590666043
-4.076697871554998e-05,0.4154194138038563,-192.315776071891,0.014506408345461842,-2.374706585661701
-4.0245063358569156e-05,0.5440239558520377,-189.85367169024389,-0.008547008547008546,2.1662733798169667
-3.969259895935619e-05,0.7527283398157878,-187.24745403482385,0.023125473835341897,-3.5780743094648306
-3.916730648540168e-05,0.9022475098980057,-184.76941830648823,-0.008547008547008546,2.480722612830129
-3.8686779918656074e-05,1.007567619662007,-182.5025630594609,-0.008547008547008546,2.566572077869657
-4.015417220943924e-05,0.37459246030536125,-189.4248981476967,-0.008547008547008546,1.9932974378401518
-3.848813679996754e-05,0.5339390262679746,-181.56547606563996,0.03392588325585743,-5.626276993932165
-3.799715866671824e-05,1.2965126002208305,-179.2493161807251,-0.008547008547008546,2.8274571578783254
-3.781819833627483e-05,0.7682532908339834,-178.40508155946983,0.027099029743597625,-4.067005406411807
-3.7693552442265626e-05,0.7045212702981802,-177.81707203323828,0.014406946433300878,-1.8578812136641627
-3.9084982691272696e-05,0.514044512485855,-184.38106074712277,0.031507319266372666,-5.295751900031842
-4.064610134793548e-05,0.35066196587309223,-191.7455443427985,0.03454360869991381,-6.273219200399534
-4.107192568201169e-05,0.2931363223670247,-193.75434508935,-0.008547008547008546,1.9489134030362112
-4.0973224813507487e-05,0.3034021490543275,-193.28872966423364,0.03418556199555333,-6.304533825308116
-4.061438001709206e-05,0.34464215731223546,-191.5959008678239,0.03704491709199098,-6.753302117487761
-4.0846118870158476e-05,0.31360404465800495,-192.68911500284568,0.014119066833687691,-2.407246788044334
-4.193193156063628e-05,0.06531221627340422,-197.81137122141055,0.05477238043657235,-10.769287462945734
-4.193193156063629e-05,0.06531221627340389,-197.81137122141055,0.05477238043657235,-10.769287462945735
-3.9553638098727413e-05,0.4133309620397921,-186.591914512469,0.0298491992641923,-5.15662627483567
-3.9000176765060494e-05,0.5011190785872958,-183.98099387857104,0.016218871991033057,-2.4832570506997347
-3.8944653265983204e-05,0.5087259462864613,-183.71906510308503,-0.008547008547008546,2.0785552307487665
