Time,Speed (mph),Speed (m/s),Distance (m),Grade (%),Grade (radians),F_aero (N),F_roll (N),F_grade (N),Acceleration (m/s^2),F_inertia (N),Fthrust (N),Fbrake (N),P_veh (W),P_veh (kW),a,b,Tg (Nm),Tm (Nm),Wg (rad/s),Wm (rad/s),Pbatt (kW),Teng (Nm),Weng (rad/s),Peng (kW)
0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
1,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
2,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
3,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
4,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
5,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
6,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
7,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
8,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
9,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
10,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
11,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
12,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
13,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
14,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
15,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
16,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
17,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
18,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
19,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
20,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,12.630201312910286,376.99111843077515,0.0,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
21,3.0,1.34112,1.34112,0.06705398989952688,0.0006705397984984066,0.5395808563200001,293.9999339053301,13.142579065699717,1.34112,2682.2400000000002,2989.92209382735,0.0,4009.844318473736,4.0098443184737365,-4.133547137210154e-05,0.24978313374798355,-12.752313612313612,184.92728831530405,329.1855549107751,18.386755200000003,432.05451153865624,45.908329004329005,104.71975511965977,5.277999891480327
22,5.9,2.6375360000000003,3.9786560000000004,0.19888032003299017,0.0019888005782063875,2.0869788453888005,293.9994185670139,38.980465636080496,1.2964160000000002,2592.8320000000003,2927.8988630484837,0.0,7722.438655649446,7.722438655649446,-4.076697871554998e-05,0.4154194138038563,-26.234045214045214,145.3508451749546,282.9735101747752,36.16061856000001,-126.50715214487354,94.44256277056276,104.71975511965977,10.277999891480327
23,8.6,3.844544,7.8232,0.3907611228547907,0.003907591339737258,4.4341555703808,293.9977554201546,76.58859534984514,1.2070079999999996,2414.015999999999,2789.0365063403797,0.0,10722.57356623187,10.722573566231869,-4.0245063358569156e-05,0.5440239558520377,-34.09838864838865,114.77500689860814,239.94850300677516,52.70869824000001,162.646231559429,122.75419913419913,104.71975511965977,13.277999891480327
24,11.5,5.14096,12.96416,0.6463937925940324,0.006463847901715694,7.928840916479999,293.99385816591916,126.69053665281369,1.2964159999999998,2592.8319999999994,3021.4452357352125,0.0,15533.129099105297,15.533129099105297,-3.969259895935619e-05,0.7527283398157878,-40.46476190476191,115.1742037110189,285.1282445570236,70.48256160000001,-256.67848108270846,145.67314285714286,130.10636242139546,19.277999891480327
25,14.3,6.392672,19.356832,0.9618089526618073,0.009617792960804498,12.259876589875201,293.98640231942693,188.5058358077738,1.2517120000000004,2503.424000000001,2998.176114717077,0.0,19166.356499620644,19.166356499620644,-3.916730648540168e-05,0.9022475098980057,-40.09026936026936,114.45064719919145,343.3254781770532,87.64353312000001,101.60142863730107,144.3249696969697,158.66629563584812,23.277999891480327
